code,name,category,default_estimated_price,estimate_note
REAR_CALIPER,Zamjena jedne straznje kocione celjusti,REPAIR,,AC-WORK-2.0 | one rear caliper; electronic parking-brake design must be verified | No global vehicle-agnostic price.
BRAKE_HOSE,Zamjena jednog fleksibilnog kocionog crijeva,REPAIR,,AC-WORK-2.0 | one conventional hose and bleeding; damaged hard lines excluded | No global vehicle-agnostic price.
BRAKE_MASTER_CYLINDER,Zamjena glavnog kocionog cilindra,REPAIR,,"AC-WORK-2.0 | individual quote, especially integrated electrohydraulic braking systems | No global vehicle-agnostic price."
ABS_SENSOR,Zamjena jednog ABS senzora,REPAIR,,"AC-WORK-2.0 | one confirmed wheel speed sensor, not a hub-integrated assembly | No global vehicle-agnostic price."
ABS_HYDRAULIC_UNIT,Popravak ABS/ESP hidraulicne jedinice,REPAIR,,"AC-WORK-2.0 | module-specific diagnosis, repair/replacement and coding quote | No global vehicle-agnostic price."
PARKING_BRAKE_CABLE,Zamjena sajle parkirne kocnice,REPAIR,,AC-WORK-2.0 | mechanical cable only; not an electric parking brake actuator | No global vehicle-agnostic price.
CONTROL_ARM,Zamjena jednog prednjeg ramena ovjesa,REPAIR,,AC-WORK-2.0 | one conventional control arm; alignment is a separate operation | No global vehicle-agnostic price.
BALL_JOINT,Zamjena jednog kuglastog zgloba,REPAIR,,"AC-WORK-2.0 | separately replaceable ball joint only, not integrated control arm | No global vehicle-agnostic price."
STABILIZER_LINK,Zamjena jedne spone stabilizatora,REPAIR,,AC-WORK-2.0 | one conventional stabilizer link; active anti-roll systems excluded | No global vehicle-agnostic price.
STEERING_TIE_ROD,Zamjena jednog krajnika upravljaca,REPAIR,,AC-WORK-2.0 | one tie-rod end; geometry adjustment separate | No global vehicle-agnostic price.
STEERING_RACK,Popravak ili zamjena letve upravljaca,REPAIR,,"AC-WORK-2.0 | rack type, assist electronics and coding need individual quote | No global vehicle-agnostic price."
COIL_SPRINGS_AXLE,Zamjena opruga na jednoj osovini,REPAIR,,"AC-WORK-2.0 | pair of conventional coil springs, not air struts or adaptive assembly | No global vehicle-agnostic price."
STRUT_TOP_MOUNT,Zamjena jednog gornjeg lezaja amortizera,REPAIR,,AC-WORK-2.0 | one replaceable strut top mount; suspension layout must be confirmed | No global vehicle-agnostic price.
CV_JOINT,Zamjena jednog homokinetickog zgloba,REPAIR,,AC-WORK-2.0 | one matching CV joint; not a whole half-shaft | No global vehicle-agnostic price.
CV_BOOT,Zamjena jedne manzete poluosovine,REPAIR,,AC-WORK-2.0 | one boot and grease; worn CV joint excluded | No global vehicle-agnostic price.
TRANSMISSION_REBUILD,Popravak ili zamjena mjenjaca,REPAIR,,AC-WORK-2.0 | individual transmission/drive-unit quote after diagnosis | No global vehicle-agnostic price.
WINDOW_REGULATOR,Zamjena podizaca jednog prozora,REPAIR,,AC-WORK-2.0 | one electric regulator mechanism; glass and door module excluded | No global vehicle-agnostic price.
WIPER_MOTOR,Zamjena motora prednjih brisaca,REPAIR,,AC-WORK-2.0 | one front wiper motor; linkage repairs excluded | No global vehicle-agnostic price.
DOOR_LOCK_ACTUATOR,Zamjena aktuatora brave vrata,REPAIR,,AC-WORK-2.0 | one powered door-lock actuator; latch coding if applicable requires confirmation | No global vehicle-agnostic price.
BLOWER_MOTOR,Zamjena ventilatora kabine,REPAIR,,AC-WORK-2.0 | one conventional cabin blower; dashboard-out work excluded | No global vehicle-agnostic price.
BLOWER_CONTROLLER,Zamjena regulatora ventilatora kabine,REPAIR,,AC-WORK-2.0 | one confirmed resistor or control module | No global vehicle-agnostic price.
AC_CONDENSER,Zamjena kondenzatora klime,REPAIR,,"AC-WORK-2.0 | matching condenser and refrigerant service, fill mass must be verified | No global vehicle-agnostic price."
WINDSCREEN_REPLACE,Zamjena vjetrobranskog stakla,REPAIR,,"AC-WORK-2.0 | glass, sensors, heating and ADAS calibration specification required | No global vehicle-agnostic price."
ADAS_CALIBRATION,Kalibracija kamere ili radara asistencije,REPAIR,,AC-WORK-2.0 | only equipped vehicles; static/dynamic procedures differ | No global vehicle-agnostic price.
HEADLAMP_UNIT,Zamjena jednog prednjeg svjetla,REPAIR,,AC-WORK-2.0 | halogen/LED/matrix/laser type and module coding require a quote | No global vehicle-agnostic price.
TPMS_SENSOR,Zamjena jednog senzora tlaka u gumi,REPAIR,,AC-WORK-2.0 | direct TPMS only; indirect ABS-based systems do not have this component | No global vehicle-agnostic price.
HV_BATTERY_REPLACE,Zamjena pogonske baterije,REPAIR,,"AC-WORK-2.0 | complete traction battery, professionally isolated; pack identity/capacity/reman/new warranty quote required | No global vehicle-agnostic price."
EV_DRIVE_UNIT,Zamjena jednog elektricnog pogonskog sklopa,REPAIR,,AC-WORK-2.0 | one electric drive unit; not the entire AWD system | No global vehicle-agnostic price.
ONBOARD_CHARGER,Zamjena ugradjenog AC punjaca,REPAIR,,AC-WORK-2.0 | plug-in vehicles only; exact onboard charger variant required | No global vehicle-agnostic price.
DC_DC_CONVERTER,Zamjena DC/DC pretvaraca,REPAIR,,AC-WORK-2.0 | traction-to-low-voltage converter; integrated modules need individual scope | No global vehicle-agnostic price.
CHARGE_PORT,Popravak ili zamjena prikljucka punjenja,REPAIR,,AC-WORK-2.0 | plug-in charge inlet only; cable and onboard charger not included | No global vehicle-agnostic price.
HV_INVERTER,Popravak ili zamjena pogonskog invertera,REPAIR,,"AC-WORK-2.0 | confirmed inverter assembly, sometimes part of drive unit | No global vehicle-agnostic price."
HV_ISOLATION_TEST,Dijagnostika izolacije visokonaponskog sustava,REPAIR,,"AC-WORK-2.0 | professional HV isolation diagnosis only, no user repair instructions | No global vehicle-agnostic price."
HV_COOLANT,Servis rashladne tekucine pogonske baterije,MAINTENANCE,,AC-WORK-2.0 | only liquid-cooled packs and an explicit manufacturer need; not periodic by assumption | No global vehicle-agnostic price.
OTHER_MAINTENANCE,Drugo odrzavanje - opis u napomeni,MAINTENANCE,,AC-WORK-2.0 | manual history fallback; no automatic price or interval | No global vehicle-agnostic price.
OTHER_REPAIR,Drugi popravak - opis u napomeni,REPAIR,,AC-WORK-2.0 | manual history fallback; no automatic price or diagnosis | No global vehicle-agnostic price.
